"","X","shoreline_site_id","survey_date","shoreline_site_name","transect_width","site_length","trashcans","number_of_recreators","total_debris_items","total_plastic_items","total_glass_items","total_rubber_items","total_metal_items","total_processed.lumber_items","total_cloth.fabric_items","total_other_items","plastic.fragments.film","plastic.fragments.foamed","plastic.fragments.hard","plastic.bags","plastic.beverage.bottles","plastic.bottle.or.container.caps","plastic.cups","plastic.food.wrappers","plastic.other.jugs.or.containers","plastic.straws","plastic.utensils","plastic.6.pack.rings","plastic.cigar.tips","plastic.cigarettes","plastic.disposable.cigarette.lighters","plastic.buoys.and.floats","plastic.fishing.lures.and.line","plastic.rope.and.nets","plastic.balloons","plastic.personal.care.products","plastic.shotgun.shells.wads","plastic.other","metal.fragments","metal.aerosol.cans","metal.aluminum.tin.cans","metal.other","glass.fragments","glass.beverage.bottles","glass.jars","glass.other","rubber.fragments","rubber.balloons","rubber.flip.flops","rubber.gloves","rubber.tires","rubber.other","processed.lumber.building.material","processed.lumber.paper.and.cardboard","processed.lumber.bags","processed.lumber.other","cloth.fabric.fragments","cloth.fabric.clothing.and.shoes","cloth.fabric.face.masks","cloth.fabric.gloves","cloth.fabric.rope.and.nets","cloth.fabric.towels.rags","cloth.fabric.other","other.other","plastic.other.fireworks","metal.other.construction.material","rubber.other.lobster.claw.rubber.bands","processed.lumber.paper.and.cardboard.fireworks","other.other.asphalt","other.other.brick","other.other.wax","year"
"1",1,302,"2016-09-12","Drakes Island Beach",5,151,"","",40,30,0,1,2,2,5,0,2,1,1,0,0,2,0,0,0,0,0,0,2,13,0,0,0,4,0,1,NA,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,NA,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,"2016"
"2",2,303,"2016-09-12","Goochs Beach, Kennebunk",5,107,"","",25,17,1,0,0,5,2,0,0,2,1,1,0,0,0,2,0,0,0,0,0,10,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"2016"
"3",3,304,"2016-09-12","Ogunquit Beach",5,108,"","",53,37,2,2,3,6,2,1,5,3,4,1,0,3,0,8,0,1,0,0,0,6,0,0,0,0,0,1,NA,5,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,5,0,1,2,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"2016"
"4",4,305,"2016-09-12","Old Orchard Beach",5,94,"","",124,95,0,2,1,15,9,2,13,2,2,1,0,3,0,7,0,2,0,0,0,59,0,0,0,0,0,1,NA,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,5,0,8,5,0,NA,0,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,"2016"
"5",5,1124,"2018-02-13","Freddy Beach",NA,244,"","",240,217,3,0,7,5,3,5,0,52,50,0,40,14,19,5,10,2,5,1,0,8,4,1,2,1,1,1,NA,1,0,1,6,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,1,NA,1,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,"2018"
"6",6,1124,"2018-02-28","Freddy Beach",NA,244,"","",117,109,0,1,3,2,2,0,0,38,50,1,8,4,0,3,0,0,0,0,0,1,1,0,0,0,2,1,NA,0,0,0,3,0,0,0,0,0,0,NA,0,0,0,1,1,1,0,0,0,0,NA,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,"2018"
"7",7,1124,"2018-03-01","Freddy Beach",NA,244,"","",226,206,10,0,1,7,2,0,0,66,65,1,10,11,12,3,16,0,0,0,0,3,2,4,1,2,3,1,NA,6,0,0,1,0,0,10,0,0,0,NA,0,0,0,0,5,2,0,0,1,1,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"2018"
"8",8,1124,"2018-03-07","Freddy Beach",NA,244,"","",242,221,0,3,2,2,0,14,0,0,175,0,17,8,4,3,0,4,0,1,0,0,4,0,2,3,0,0,NA,0,0,2,0,0,0,0,0,0,0,NA,2,0,1,0,1,1,0,0,0,0,NA,0,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,"2018"
"9",9,1124,"2018-03-24","Freddy Beach",NA,244,"","",216,205,1,0,8,0,2,0,0,34,67,3,11,20,9,21,1,9,9,1,2,1,0,0,1,12,0,4,NA,0,0,0,8,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,"2018"
"10",10,1124,"2018-03-30","Freddy Beach",NA,244,"","",106,84,4,0,4,1,3,10,0,4,0,0,11,10,0,3,4,1,0,0,0,0,3,4,1,4,1,0,NA,38,0,0,4,0,0,4,0,0,0,NA,0,0,0,0,1,0,0,0,0,2,NA,0,1,0,0,10,NA,NA,NA,NA,NA,NA,NA,"2018"
"11",11,1396,"2023-05-23","Ocean Park ",5,114,"Present","11-50",40,34,1,4,0,0,1,0,5,2,3,1,3,1,1,3,0,0,1,0,0,7,1,3,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,"2023"
"12",12,1396,"2023-05-30","Ocean Park ",5,114,"Present","11-50",61,42,0,4,3,5,7,0,9,1,10,0,0,1,0,3,0,1,0,0,0,9,0,0,0,4,0,1,1,2,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,"2023"
"13",13,1396,"2023-06-06","Ocean Park ",5,114,"Present","11-50",47,22,22,1,0,1,0,1,4,2,7,0,0,0,0,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,"2023"
"14",14,1398,"2023-06-16","The Creek Ocean Park",5,102,"Not Present","0-10",226,157,5,30,12,14,3,5,11,13,110,0,0,3,0,2,0,0,1,0,0,9,1,0,1,6,0,0,0,0,11,0,0,1,5,0,0,0,15,0,0,0,0,15,1,1,0,12,2,1,0,0,0,0,0,5,NA,NA,NA,NA,3,1,1,"2023"
"15",15,1398,"2023-06-22","The Creek Ocean Park",5,102,"Present","11-50",81,47,0,34,0,0,0,0,3,5,13,0,0,0,0,1,0,0,0,0,0,3,0,0,2,18,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,17,NA,0,0,0,"2023"
"16",16,1398,"2023-06-24","The Creek Ocean Park",5,102,"Present & Overflowing","11-50",162,98,1,35,9,12,6,1,10,10,53,0,1,0,0,5,0,0,2,0,0,4,0,0,3,8,0,1,1,0,9,0,0,0,1,0,0,0,16,0,0,0,0,19,0,11,0,1,3,3,0,0,0,0,0,1,NA,NA,14,NA,1,0,0,"2023"
"17",17,1402,"2023-07-05","Kinney Shores Beach ",5,252,"Present","11-50",58,36,1,11,3,2,2,3,17,8,4,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,2,1,1,0,0,0,9,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,3,NA,1,2,NA,3,NA,NA,"2023"
"18",18,1402,"2023-07-10","Kinney Shores Beach ",5,252,"Present","0-10",37,28,1,3,1,0,2,2,4,6,5,0,0,0,0,3,0,0,0,0,0,5,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,NA,0,NA,NA,2,NA,NA,"2023"
"19",19,1402,"2023-07-20","Kinney Shores Beach ",5,252,"Present","0-10",56,42,3,6,1,1,1,2,8,11,9,0,0,1,0,1,1,2,0,0,0,3,0,0,2,2,0,1,1,0,1,0,0,0,3,0,0,0,2,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,NA,0,3,NA,2,NA,NA,"2023"
"20",20,1404,"2023-07-24","Old Orchard Beach South of Pier ",5,108,"Present","0-10",240,130,0,7,2,87,14,0,16,8,19,1,2,3,1,20,4,7,3,0,1,24,1,0,0,3,0,1,0,16,2,0,0,0,0,0,0,0,5,0,0,0,0,2,0,86,0,1,4,6,1,0,3,0,0,0,16,NA,2,23,NA,NA,NA,"2023"
"21",21,1404,"2023-07-28","Old Orchard Beach South of Pier ",5,108,"Present","11-50",275,74,0,16,2,181,2,0,6,1,3,2,0,3,0,15,1,1,2,0,0,16,0,0,0,3,0,0,0,21,2,0,0,0,0,0,0,0,1,15,0,0,0,0,0,181,0,0,0,1,0,0,1,0,0,0,21,NA,NA,166,NA,NA,NA,"2023"
"22",22,1404,"2023-08-04","Old Orchard Beach South of Pier ",5,108,"Present","0-10",63,47,0,0,2,13,1,0,4,0,8,2,2,2,2,10,0,1,1,0,0,12,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,NA,NA,3,NA,NA,NA,"2023"
