survey_protocol,shoreline_site_id,survey_date,survey_id,transect_id,shoreline_site_name,beach_width_at_transect,transect_width,site_length,slope,substrate,back_barrier_type,num_people_searching_for_debris,debris_search_start_time,debris_search_end_time,debris_removal_transect,consistency_check,transect_photos,transect_notes,total_debris_items,total_plastic_items,total_metal_items,total_glass_items,total_rubber_items,total_processed-lumber_items,total_cloth-fabric_items,total_other_items,plastic:fragments-film,plastic:fragments-foamed,plastic:fragments-hard,plastic:bags,plastic:beverage-bottles,plastic:bottle-or-container-caps,plastic:cups,plastic:food-wrappers,plastic:other-jugs-or-containers,plastic:straws,plastic:utensils,plastic:6-pack-rings,plastic:cigar-tips,plastic:cigarettes,plastic:disposable-cigarette-lighters,plastic:buoys-and-floats,plastic:fishing-lures-and-line,plastic:rope-and-nets,plastic:balloons,plastic:personal-care-products,plastic:shotgun-shells-wads,plastic:other,metal:fragments,metal:aerosol-cans,metal:aluminum-tin-cans,metal:other,glass:fragments,glass:beverage-bottles,glass:jars,glass:other,rubber:fragments,rubber:balloons,rubber:flip-flops,rubber:gloves,rubber:tires,rubber:other,processed-lumber:cardboard-cartons,processed-lumber:building-material,processed-lumber:paper-and-cardboard,processed-lumber:bags,processed-lumber:other,cloth-fabric:fragments,cloth-fabric:clothing-and-shoes,cloth-fabric:face-masks,cloth-fabric:gloves,cloth-fabric:rope-and-nets,cloth-fabric:towels-rags,cloth-fabric:other,other:other,plastic:other-jugs-or-containers:bait containers/lids,plastic:rope-and-nets:yellow poly rope snippets,plastic:personal-care-products:combs or brushes,plastic:personal-care-products:syringes,plastic:personal-care-products:toothbrushes,plastic:other:crab buoy tag,plastic:other:fireworks,plastic:other:golf balls and tees,plastic:other:hagfish trap/cones,plastic:other:irrigation parts,plastic:other:light sticks,plastic:other:mesh bait bags,plastic:other:oyster spacers,plastic:other:oyster spacers & oyster bags,plastic:other:packing bands,plastic:other:pens & pen caps,plastic:other:plant pot or trays,plastic:other:ribbon,plastic:other:toys,plastic:other:zipties,metal:other:construction material,metal:other:metal bottle caps,metal:other:propane canisters,glass:other:light bulbs,rubber:other:lobster claw rubber bands,rubber:other:rubber straps,processed-lumber:paper-and-cardboard:fireworks,processed-lumber:other:creosote-treated lumber,cloth-fabric:other:carpet,other:other:asphalt,other:other:brick,other:other:ceramic,other:other:terracota,other:other:wax,drain_input,total_survey_duration,weather,trashcans,debris_removal_site,number_of_recreators,team_count,k12_group,first_timers,survey_photos,survey_notes,group,date_of_site_characterization,country,state_province_territory,city_county,site_back_barrier_left_lat,site_back_barrier_left_lon,site_back_barrier_right_lat,site_back_barrier_right_lon,site_waters_edge_left_lat,site_waters_edge_left_lon,site_waters_edge_right_lat,site_waters_edge_right_lon,direction_when_facing_water,access,nearest_river_stream_inlet,nearest_river_dist_km,reason_site_selection,site_photos,site_notes
MDMAP Standing Stock Protocol,302,2016-09-12,5504,15,Drakes Island Beach,133,5,151,"",sand,vegetation,"",01:34 PM,01:57 PM,none,"","","------Large Item------
Material Type: Cloth/Fabric
Item Type: Rope/net pieces
Count: 1
Status: mixed with natural wrack
Width [m]: 0.75
Length [m]: 0.3
Photos: 5375_thumb.jpg,5376_thumb.jpg
Description: 


",14,8,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"",4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"",0,2,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"",Sunny,"",none,"","","","","","

Total Debris Count: 13",NOAA MDP,2016-09-12,United States,Maine,York County,43.32235,-70.55317,43.32305,-70.55247,43.32176,-70.55193,43.32254,-70.55131,SE,Vehicular,Wells Harbor / Webhannet River,0,"","5350.JPG,5349.JPG,5359.JPG,5348.JPG,5347.JPG,5360.JPG,5361.JPG,5362.JPG,5363.JPG,5364.JPG,5365.JPG,5356.JPG,5367.JPG,5368.JPG,5358.JPG,5357.JPG,5366.JPG,5373.JPG,5372.JPG,5371.JPG,5370.JPG,5369.JPG,5346.JPG,5355.JPG,5354.JPG,5353.JPG,5352.JPG,5351.JPG","Surveyed as part of the NOAA FY16 economic tourism study. A lot of wrack on the beach, with some cobbles on the upper section. Resident said town cleans beach once in the spring. Jetty south of the site 300m. Parking available at Wells NERR or metered parking available by the jetty."
MDMAP Standing Stock Protocol,302,2016-09-12,5504,35,Drakes Island Beach,129,5,151,"",sand,vegetation,"",12:59 PM,01:21 PM,none,"","","",11,10,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"",Sunny,"",none,"","","","","","

Total Debris Count: 13",NOAA MDP,2016-09-12,United States,Maine,York County,43.32235,-70.55317,43.32305,-70.55247,43.32176,-70.55193,43.32254,-70.55131,SE,Vehicular,Wells Harbor / Webhannet River,0,"","5350.JPG,5349.JPG,5359.JPG,5348.JPG,5347.JPG,5360.JPG,5361.JPG,5362.JPG,5363.JPG,5364.JPG,5365.JPG,5356.JPG,5367.JPG,5368.JPG,5358.JPG,5357.JPG,5366.JPG,5373.JPG,5372.JPG,5371.JPG,5370.JPG,5369.JPG,5346.JPG,5355.JPG,5354.JPG,5353.JPG,5352.JPG,5351.JPG","Surveyed as part of the NOAA FY16 economic tourism study. A lot of wrack on the beach, with some cobbles on the upper section. Resident said town cleans beach once in the spring. Jetty south of the site 300m. Parking available at Wells NERR or metered parking available by the jetty."
MDMAP Standing Stock Protocol,302,2016-09-12,5504,45,Drakes Island Beach,129,5,151,"",sand,vegetation,"",12:59 PM,01:19 PM,none,"","","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"",Sunny,"",none,"","","","","","

Total Debris Count: 13",NOAA MDP,2016-09-12,United States,Maine,York County,43.32235,-70.55317,43.32305,-70.55247,43.32176,-70.55193,43.32254,-70.55131,SE,Vehicular,Wells Harbor / Webhannet River,0,"","5350.JPG,5349.JPG,5359.JPG,5348.JPG,5347.JPG,5360.JPG,5361.JPG,5362.JPG,5363.JPG,5364.JPG,5365.JPG,5356.JPG,5367.JPG,5368.JPG,5358.JPG,5357.JPG,5366.JPG,5373.JPG,5372.JPG,5371.JPG,5370.JPG,5369.JPG,5346.JPG,5355.JPG,5354.JPG,5353.JPG,5352.JPG,5351.JPG","Surveyed as part of the NOAA FY16 economic tourism study. A lot of wrack on the beach, with some cobbles on the upper section. Resident said town cleans beach once in the spring. Jetty south of the site 300m. Parking available at Wells NERR or metered parking available by the jetty."
MDMAP Standing Stock Protocol,302,2016-09-12,5504,85,Drakes Island Beach,115,5,151,"",sand,vegetation,"",12:31 PM,12:50 PM,none,"","","",14,12,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,3,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,1,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"",Sunny,"",none,"","","","","","

Total Debris Count: 13",NOAA MDP,2016-09-12,United States,Maine,York County,43.32235,-70.55317,43.32305,-70.55247,43.32176,-70.55193,43.32254,-70.55131,SE,Vehicular,Wells Harbor / Webhannet River,0,"","5350.JPG,5349.JPG,5359.JPG,5348.JPG,5347.JPG,5360.JPG,5361.JPG,5362.JPG,5363.JPG,5364.JPG,5365.JPG,5356.JPG,5367.JPG,5368.JPG,5358.JPG,5357.JPG,5366.JPG,5373.JPG,5372.JPG,5371.JPG,5370.JPG,5369.JPG,5346.JPG,5355.JPG,5354.JPG,5353.JPG,5352.JPG,5351.JPG","Surveyed as part of the NOAA FY16 economic tourism study. A lot of wrack on the beach, with some cobbles on the upper section. Resident said town cleans beach once in the spring. Jetty south of the site 300m. Parking available at Wells NERR or metered parking available by the jetty."
MDMAP Accumulation Protocol,1124,2018-03-30,1124180330,"",Freddy Beach,430,"",244,"",sand,vegetation,2,5:15:00 PM,6:30:00 PM,all,"","","",106,84,4,4,0,1,3,10,0,4,0,0,11,10,0,3,4,1,0,0,0,0,3,4,1,4,1,0,"",38,0,0,4,0,0,4,0,0,0,"",0,0,0,0,0,1,0,0,0,0,2,"",0,1,0,0,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,4500,Partly Cloudy,"",all,"",2,"","","","",University of New England,2018-02-13,United States,Maine,York,43.4604,-70.3808,43.4604,-70.3778,43.4606,-70.3806,43.4607,-70.3778,N,Day Hike,Saco River,0,"",9505.JPG,Part of the University of New England campus. Residential areas of Hills Beach. Higher population in the summer time.
MDMAP Accumulation Protocol,1124,2018-03-24,1124180324,"",Freddy Beach,30,"",244,"",sand,vegetation,2,10:00:00 AM,12:30:00 PM,all,"","","",216,205,8,1,0,0,2,0,0,34,67,3,11,20,9,21,1,9,9,1,2,1,0,0,1,12,0,4,"",0,0,0,8,0,0,1,0,0,0,"",0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,9000,Mostly Cloudy,"",all,"",2,"","","","",University of New England,2018-02-13,United States,Maine,York,43.4604,-70.3808,43.4604,-70.3778,43.4606,-70.3806,43.4607,-70.3778,N,Day Hike,Saco River,0,"",9505.JPG,Part of the University of New England campus. Residential areas of Hills Beach. Higher population in the summer time.
MDMAP Accumulation Protocol,1124,2018-03-07,1124180307,"",Freddy Beach,10,"",244,"",sand,vegetation,2,7:42:00 AM,8:50:00 AM,all,"","","",242,221,2,0,3,2,0,14,0,0,175,0,17,8,4,3,0,4,0,1,0,0,4,0,2,3,0,0,"",0,0,2,0,0,0,0,0,0,0,"",2,0,1,0,0,1,1,0,0,0,0,"",0,0,0,0,14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,4080,"","",all,"",2,"","","","",University of New England,2018-02-13,United States,Maine,York,43.4604,-70.3808,43.4604,-70.3778,43.4606,-70.3806,43.4607,-70.3778,N,Day Hike,Saco River,0,"",9505.JPG,Part of the University of New England campus. Residential areas of Hills Beach. Higher population in the summer time.
MDMAP Accumulation Protocol,1124,2018-03-01,1124180301,"",Freddy Beach,32.18688,"",244,"",sand,vegetation,2,8:10:00 AM,9:15:00 AM,all,"","","",226,206,1,10,0,7,2,0,0,66,65,1,10,11,12,3,16,0,0,0,0,3,2,4,1,2,3,1,"",6,0,0,1,0,0,10,0,0,0,"",0,0,0,0,0,5,2,0,0,1,1,"",0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,3900,Mostly Cloudy,"",all,"",2,"","","","",University of New England,2018-02-13,United States,Maine,York,43.4604,-70.3808,43.4604,-70.3778,43.4606,-70.3806,43.4607,-70.3778,N,Day Hike,Saco River,0,"",9505.JPG,Part of the University of New England campus. Residential areas of Hills Beach. Higher population in the summer time.
MDMAP Accumulation Protocol,1124,2018-02-28,1124180228,"",Freddy Beach,430,"",244,"",sand,vegetation,2,3:40:00 PM,4:25:00 PM,all,"","","",117,109,3,0,1,2,2,0,0,38,50,1,8,4,0,3,0,0,0,0,0,1,1,0,0,0,2,1,"",0,0,0,3,0,0,0,0,0,0,"",0,0,0,1,0,1,1,0,0,0,0,"",0,2,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,2700,Sunny,"",all,"",2,"","","","",University of New England,2018-02-13,United States,Maine,York,43.4604,-70.3808,43.4604,-70.3778,43.4606,-70.3806,43.4607,-70.3778,N,Day Hike,Saco River,0,"",9505.JPG,Part of the University of New England campus. Residential areas of Hills Beach. Higher population in the summer time.
MDMAP Accumulation Protocol,1124,2018-02-13,1124180213,"",Freddy Beach,447,"",244,"",sand,vegetation,3,4:00:00 PM,5:00:00 PM,all,"","","",240,217,7,3,0,5,3,5,0,52,50,0,40,14,19,5,10,2,5,1,0,8,4,1,2,1,1,1,"",1,0,1,6,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,"",1,1,0,0,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,3600,Partly Cloudy,"",all,"",3,"","","","",University of New England,2018-02-13,United States,Maine,York,43.4604,-70.3808,43.4604,-70.3778,43.4606,-70.3806,43.4607,-70.3778,N,Day Hike,Saco River,0,"",9505.JPG,Part of the University of New England campus. Residential areas of Hills Beach. Higher population in the summer time.
