survey_protocol,shoreline_site_id,survey_date,survey_id,transect_id,shoreline_site_name,beach_width_at_transect,transect_width,site_length,slope,substrate,back_barrier_type,num_people_searching_for_debris,debris_search_start_time,debris_search_end_time,debris_removal_transect,consistency_check,transect_photos,transect_notes,total_debris_items,total_plastic_items,total_metal_items,total_glass_items,total_rubber_items,total_processed-lumber_items,total_cloth-fabric_items,total_other_items,plastic:fragments-film,plastic:fragments-foamed,plastic:fragments-hard,plastic:bags,plastic:beverage-bottles,plastic:bottle-or-container-caps,plastic:cups,plastic:food-wrappers,plastic:other-jugs-or-containers,plastic:straws,plastic:utensils,plastic:6-pack-rings,plastic:cigar-tips,plastic:cigarettes,plastic:disposable-cigarette-lighters,plastic:buoys-and-floats,plastic:fishing-lures-and-line,plastic:rope-and-nets,plastic:balloons,plastic:personal-care-products,plastic:shotgun-shells-wads,plastic:other,metal:fragments,metal:aerosol-cans,metal:aluminum-tin-cans,metal:other,glass:fragments,glass:beverage-bottles,glass:jars,glass:other,rubber:fragments,rubber:balloons,rubber:flip-flops,rubber:gloves,rubber:tires,rubber:other,processed-lumber:cardboard-cartons,processed-lumber:building-material,processed-lumber:paper-and-cardboard,processed-lumber:bags,processed-lumber:other,cloth-fabric:fragments,cloth-fabric:clothing-and-shoes,cloth-fabric:face-masks,cloth-fabric:gloves,cloth-fabric:rope-and-nets,cloth-fabric:towels-rags,cloth-fabric:other,other:other,plastic:other-jugs-or-containers:bait containers/lids,plastic:rope-and-nets:yellow poly rope snippets,plastic:personal-care-products:combs or brushes,plastic:personal-care-products:syringes,plastic:personal-care-products:toothbrushes,plastic:other:crab buoy tag,plastic:other:fireworks,plastic:other:golf balls and tees,plastic:other:hagfish trap/cones,plastic:other:irrigation parts,plastic:other:light sticks,plastic:other:mesh bait bags,plastic:other:oyster spacers,plastic:other:oyster spacers & oyster bags,plastic:other:packing bands,plastic:other:pens & pen caps,plastic:other:plant pot or trays,plastic:other:ribbon,plastic:other:toys,plastic:other:zipties,metal:other:construction material,metal:other:metal bottle caps,metal:other:propane canisters,glass:other:light bulbs,rubber:other:lobster claw rubber bands,rubber:other:rubber straps,processed-lumber:paper-and-cardboard:fireworks,processed-lumber:other:creosote-treated lumber,cloth-fabric:other:carpet,other:other:asphalt,other:other:brick,other:other:ceramic,other:other:terracota,other:other:wax,drain_input,total_survey_duration,weather,trashcans,debris_removal_site,number_of_recreators,team_count,k12_group,first_timers,survey_photos,survey_notes,group,date_of_site_characterization,country,state_province_territory,city_county,site_back_barrier_left_lat,site_back_barrier_left_lon,site_back_barrier_right_lat,site_back_barrier_right_lon,site_waters_edge_left_lat,site_waters_edge_left_lon,site_waters_edge_right_lat,site_waters_edge_right_lon,direction_when_facing_water,access,nearest_river_stream_inlet,nearest_river_dist_km,reason_site_selection,site_photos,site_notes
MDMAP 2.0 Protocol,1402,2023-07-20,21150,10,Kinney Shores Beach ,53.0,5,252,knees to shoulders,sand,dunes,2,05:50 AM,06:20 AM,all,false,"",One lobster rubber band was recorded under Other Rubber. ,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","",0,"","","","",0,"","","","",false,7200,Sunny,Present,all,0-10,2,false,0,"Transect B.jpg,Start of 100m Looking to Water.jpg,Outside of Transect Large Debris and Dog Waste Bag.jpg,End of 100m Looking Inward .jpg,Transect A.jpg,Transect C.jpg,Debris outside of 4 Transects.jpg,Transect D.jpg,Start of 100 m Looking Inward.jpg,End of 100m Looking to Water.jpg,Debris Smaller Than 2.5cm .jpg",A total of 11 marine debris items were collected and removed that were smaller than 2.5cm. The tide was low at time of survey. On 7/18/2023 on maine.gov under the Maine Healthy Beaches Dashboard Kinney Shores was listed as having elevated Enterococci bacteria from heavy rain and run off. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-20,21150,40,Kinney Shores Beach ,53.0,5,252,shoulders and above,sand,dunes,2,06:20 AM,06:50 AM,all,false,"","",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","",0,"","","","",0,"","","","",false,7200,Sunny,Present,all,0-10,2,false,0,"Transect B.jpg,Start of 100m Looking to Water.jpg,Outside of Transect Large Debris and Dog Waste Bag.jpg,End of 100m Looking Inward .jpg,Transect A.jpg,Transect C.jpg,Debris outside of 4 Transects.jpg,Transect D.jpg,Start of 100 m Looking Inward.jpg,End of 100m Looking to Water.jpg,Debris Smaller Than 2.5cm .jpg",A total of 11 marine debris items were collected and removed that were smaller than 2.5cm. The tide was low at time of survey. On 7/18/2023 on maine.gov under the Maine Healthy Beaches Dashboard Kinney Shores was listed as having elevated Enterococci bacteria from heavy rain and run off. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-20,21150,80,Kinney Shores Beach ,44.0,5,252,shoulders and above,sand,dunes,2,06:50 AM,07:20 AM,all,false,"","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","",0,"","","","",0,"","","","",false,7200,Sunny,Present,all,0-10,2,false,0,"Transect B.jpg,Start of 100m Looking to Water.jpg,Outside of Transect Large Debris and Dog Waste Bag.jpg,End of 100m Looking Inward .jpg,Transect A.jpg,Transect C.jpg,Debris outside of 4 Transects.jpg,Transect D.jpg,Start of 100 m Looking Inward.jpg,End of 100m Looking to Water.jpg,Debris Smaller Than 2.5cm .jpg",A total of 11 marine debris items were collected and removed that were smaller than 2.5cm. The tide was low at time of survey. On 7/18/2023 on maine.gov under the Maine Healthy Beaches Dashboard Kinney Shores was listed as having elevated Enterococci bacteria from heavy rain and run off. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-20,21150,95,Kinney Shores Beach ,73.0,5,252,shoulders and above,sand,dunes,2,07:20 AM,07:50 AM,all,false,"",Two lobster rubber bands were recorded under Other Rubber. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","",0,"","","","",0,"","","","",false,7200,Sunny,Present,all,0-10,2,false,0,"Transect B.jpg,Start of 100m Looking to Water.jpg,Outside of Transect Large Debris and Dog Waste Bag.jpg,End of 100m Looking Inward .jpg,Transect A.jpg,Transect C.jpg,Debris outside of 4 Transects.jpg,Transect D.jpg,Start of 100 m Looking Inward.jpg,End of 100m Looking to Water.jpg,Debris Smaller Than 2.5cm .jpg",A total of 11 marine debris items were collected and removed that were smaller than 2.5cm. The tide was low at time of survey. On 7/18/2023 on maine.gov under the Maine Healthy Beaches Dashboard Kinney Shores was listed as having elevated Enterococci bacteria from heavy rain and run off. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-10,21125,5,Kinney Shores Beach ,80.0,5,252,knees to shoulders,sand,dunes,2,06:45 AM,07:05 AM,all,false,"","",5,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","",0,"","","","",false,7200,Mostly Cloudy,Present,all,0-10,2,false,0,"View from dunes down to waters edge .jpg,View of 100m with Plover Protection .jpg,Debris Collected outside of four Transects .jpg,Transect D Debris .jpg,Transect A Debris .jpg,Transect C Debris .jpg,End of 100m Looking inward .jpg,Transect B Debris .jpg,Debris smalle then 2.5cm .jpg",A total of 7 debris items smaller than 2.5cm were found from the four transects. It was extremely foggy out and the tide was going out. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-10,21125,30,Kinney Shores Beach ,85.0,5,252,shoulders and above,sand,dunes,2,07:05 AM,07:25 AM,all,false,"","",3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","",0,"","","","",false,7200,Mostly Cloudy,Present,all,0-10,2,false,0,"View from dunes down to waters edge .jpg,View of 100m with Plover Protection .jpg,Debris Collected outside of four Transects .jpg,Transect D Debris .jpg,Transect A Debris .jpg,Transect C Debris .jpg,End of 100m Looking inward .jpg,Transect B Debris .jpg,Debris smalle then 2.5cm .jpg",A total of 7 debris items smaller than 2.5cm were found from the four transects. It was extremely foggy out and the tide was going out. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-10,21125,55,Kinney Shores Beach ,90.0,5,252,shoulders and above,sand,dunes,2,07:25 AM,07:50 AM,all,false,"","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","",0,"","","","",false,7200,Mostly Cloudy,Present,all,0-10,2,false,0,"View from dunes down to waters edge .jpg,View of 100m with Plover Protection .jpg,Debris Collected outside of four Transects .jpg,Transect D Debris .jpg,Transect A Debris .jpg,Transect C Debris .jpg,End of 100m Looking inward .jpg,Transect B Debris .jpg,Debris smalle then 2.5cm .jpg",A total of 7 debris items smaller than 2.5cm were found from the four transects. It was extremely foggy out and the tide was going out. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-10,21125,90,Kinney Shores Beach ,95.0,5,252,shoulders and above,sand,dunes,2,07:50 AM,08:20 AM,all,false,"","",4,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","",0,"","","","",false,7200,Mostly Cloudy,Present,all,0-10,2,false,0,"View from dunes down to waters edge .jpg,View of 100m with Plover Protection .jpg,Debris Collected outside of four Transects .jpg,Transect D Debris .jpg,Transect A Debris .jpg,Transect C Debris .jpg,End of 100m Looking inward .jpg,Transect B Debris .jpg,Debris smalle then 2.5cm .jpg",A total of 7 debris items smaller than 2.5cm were found from the four transects. It was extremely foggy out and the tide was going out. ,Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-05,21121,20,Kinney Shores Beach ,107.0,5,252,knees to shoulders,sand,dunes,2,06:30 AM,07:00 AM,all,false,"",One lobster rubber band was found and recorded under other rubber. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","",0,"","","","",0,"","","","",false,7200,Sunny,Present,all,11-50,2,false,0,"Transect D.jpg,Transect C.jpg,Debris Smaller Than 2.5cm.jpg,Debris from outside 4 transects.jpg,Transect A.jpg,Transect B.jpg","A total of 16 marine debris items were collected that were smaller than 2.5cm from the four transects. The tide was low but could see when it is high tide the water goes all the way to the dunes. Outside of the surveyed transects a large unused firework was found, broken part of a metal lobster trap, and larger piece of hard plastic were up near the back barrier. ",Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
MDMAP 2.0 Protocol,1402,2023-07-05,21121,40,Kinney Shores Beach ,104.0,5,252,knees to shoulders,sand,dunes,2,07:00 AM,07:30 AM,all,false,"","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","",0,"","","",0,"","","","",0,"","","","",false,7200,Sunny,Present,all,11-50,2,false,0,"Transect D.jpg,Transect C.jpg,Debris Smaller Than 2.5cm.jpg,Debris from outside 4 transects.jpg,Transect A.jpg,Transect B.jpg","A total of 16 marine debris items were collected that were smaller than 2.5cm from the four transects. The tide was low but could see when it is high tide the water goes all the way to the dunes. Outside of the surveyed transects a large unused firework was found, broken part of a metal lobster trap, and larger piece of hard plastic were up near the back barrier. ",Individual,2023-07-05,United States,Maine,Saco,43.494,-70.385,43.4959,-70.3847222222,43.4935,-70.3836111111,43.4956,-70.38278,SE,Vehicular,Goosefare Brook,0,"""convenience/easy access,popular tourist/recreation area,no previous monitoring""","eginning of 100m Survey Site Looking Inward.jpg,Beginning of Survey Site looking up from waters edge.jpg,Piping Plover Chicks Sign.jpg,View of Dunes within Transects.jpg,Protected Portion of 100 m Piping Plovers.jpg,Signs Going Onto Beach.jpg,Piping Plover Signs.jpg,Trashcan.jpg,End of Survey Site looking towards Water.jpg","Kinney Shores is part of Saco and is a popular tourist and resident beach. The closest road to the start of the 100m site is Shore Ave for a landmark. Residents that I spoke with said that they regularly clean the beach themselves. Trashcans were located on every boardwalk but were off of the beach because high tide water marks go right up to the dunes. Signs located on the street at the beginning of the boardwalk state fireworks are prohibited, dogs to be leashed April 1st - September 30th, a marine mammal hotline number for reporting, and no further rules were posted. Part of the 100m site is an endangered Piping Plover nesting area and part of the dunes are roped off for protection. They are monitored by the Maine Department of Inland Fisheries and Wildlife and also by Saco volunteers. Goosefare Brook runs right alongside this site and empties into Saco Bay in the Gulf of Maine. This is an intertidal creek and in this area strong currents are present, changing sandbars, and constant shifting of the sand. 
"
